,idx,name,area,countingDirection,day,count,date_jst,week,time,is_holiday_x,0,is_holiday_y,is_edge_holiday
159,159,car,conv_crossing_right_car,leftright_topbottom,2021-11-11,45,2021-11-11 12:00:00,木曜,12,False,2021-11-11,False,0
160,160,car,conv_crossing_right_car,rightleft_bottomtop,2021-11-11,65,2021-11-11 12:00:00,木曜,12,False,2021-11-11,False,0
161,161,car,conv_crossing_right_person,leftright_topbottom,2021-11-11,19,2021-11-11 12:00:00,木曜,12,False,2021-11-11,False,0
162,162,car,conv_crossing_right_person,rightleft_bottomtop,2021-11-11,7,2021-11-11 12:00:00,木曜,12,False,2021-11-11,False,0
163,163,motorbike,conv_crossing_left_car,leftright_topbottom,2021-11-11,2,2021-11-11 12:00:00,木曜,12,False,2021-11-11,False,0
164,164,person,conv_crossing_far_car,leftright_topbottom,2021-11-11,7,2021-11-11 12:00:00,木曜,12,False,2021-11-11,False,0
165,165,person,conv_crossing_far_car,rightleft_bottomtop,2021-11-11,7,2021-11-11 12:00:00,木曜,12,False,2021-11-11,False,0
166,166,person,conv_crossing_far_person,leftright_topbottom,2021-11-11,27,2021-11-11 12:00:00,木曜,12,False,2021-11-11,False,0
167,167,person,conv_crossing_far_person,rightleft_bottomtop,2021-11-11,12,2021-11-11 12:00:00,木曜,12,False,2021-11-11,False,0
168,168,person,conv_crossing_left_car,leftright_topbottom,2021-11-11,71,2021-11-11 12:00:00,木曜,12,False,2021-11-11,False,0
169,169,person,conv_crossing_left_car,rightleft_bottomtop,2021-11-11,44,2021-11-11 12:00:00,木曜,12,False,2021-11-11,False,0
170,170,person,conv_crossing_left_person,leftright_topbottom,2021-11-11,33,2021-11-11 12:00:00,木曜,12,False,2021-11-11,False,0
171,171,person,conv_crossing_left_person,rightleft_bottomtop,2021-11-11,26,2021-11-11 12:00:00,木曜,12,False,2021-11-11,False,0
172,172,person,conv_crossing_parking,leftright_topbottom,2021-11-11,25,2021-11-11 12:00:00,木曜,12,False,2021-11-11,False,0
173,173,person,conv_crossing_parking,rightleft_bottomtop,2021-11-11,13,2021-11-11 12:00:00,木曜,12,False,2021-11-11,False,0
174,174,person,conv_crossing_right_car,leftright_topbottom,2021-11-11,28,2021-11-11 12:00:00,木曜,12,False,2021-11-11,False,0
175,175,person,conv_crossing_right_car,rightleft_bottomtop,2021-11-11,21,2021-11-11 12:00:00,木曜,12,False,2021-11-11,False,0
176,176,person,conv_crossing_right_person,leftright_topbottom,2021-11-11,18,2021-11-11 12:00:00,木曜,12,False,2021-11-11,False,0
177,177,person,conv_crossing_right_person,rightleft_bottomtop,2021-11-11,33,2021-11-11 12:00:00,木曜,12,False,2021-11-11,False,0
178,178,truck,conv_crossing_far_car,leftright_topbottom,2021-11-11,4,2021-11-11 12:00:00,木曜,12,False,2021-11-11,False,0
179,179,truck,conv_crossing_far_car,rightleft_bottomtop,2021-11-11,6,2021-11-11 12:00:00,木曜,12,False,2021-11-11,False,0
180,180,truck,conv_crossing_far_person,leftright_topbottom,2021-11-11,2,2021-11-11 12:00:00,木曜,12,False,2021-11-11,False,0
181,181,truck,conv_crossing_far_person,rightleft_bottomtop,2021-11-11,3,2021-11-11 12:00:00,木曜,12,False,2021-11-11,False,0
182,182,truck,conv_crossing_left_car,leftright_topbottom,2021-11-11,4,2021-11-11 12:00:00,木曜,12,False,2021-11-11,False,0
